erp_transaction_code,creator_user_id,movement_type,document_type, total_linhas , total_id_unicos ,valor_total_movimentado
,LAMBDA_PNU_P,automatic,YX," 2,087,370 "," 1,043,685 ",0.00E+00
,SAPCPI,automatic,YN," 1,022,562 "," 511,281 ",0.00E+00
,LAMBDA_PNU_P,automatic,YB," 136,320 "," 68,160 ",0.00E+00
,LAMBDA_PNU_P,automatic,YI," 76,848 "," 38,424 ",0.00E+00
,LAMBDA_PNU_P,automatic,YC," 48,954 "," 24,477 ",0.00E+00
,SAPCPI,automatic,KR," 48,592 "," 24,296 ",0.00E+00
,SAPCPI,automatic,CC," 21,174 "," 8,779 ",0.00E+00
,LAMBDA_PNU_P,automatic,YA," 17,802 "," 8,901 ",0.00E+00
,USERJOB,automatic,CC," 16,922 "," 4,564 ",0.00E+00
,KBRIGHI,automatic,AA," 16,331 "," 4,572 ",0.00E+00
,LCAMARGO,automatic,AA," 14,993 "," 7,493 ",0.00E+00
,SAPCPI,automatic,KS," 12,178 "," 6,089 ",0.00E+00
,LAMBDA_PNU_P,automatic,YL," 2,194 "," 1,097 ",0.00E+00
,LAMBDA_PNU_P,automatic,YD, 784 , 392 ,0.00E+00
,USERJOB,automatic,SC, 584 , 292 ,0.00E+00
,USERJOB,automatic,ES, 576 , 288 ,0.00E+00
,LAMBDA_PNU_P,automatic,YM, 412 , 206 ,0.00E+00
,LAMBDA_PNU_P,automatic,TX, 214 , 107 ,0.00E+00
,LAMBDA_PNU_P,automatic,YP, 194 , 97 ,0.00E+00
,SAPCPI,automatic,HR, 8 , 4 ,0.00E+00
AB01L,RCASTILLO,automatic,AA, 6 , 3 ,0.00E+00
AB08,KBRIGHI,automatic,ES," 2,998 ", 786 ,0.00E+00
AB08,LCAMARGO,automatic,ES," 2,274 "," 1,137 ",0.00E+00
AB08,DFERREIRA,automatic,ES, 40 , 13 ,0.00E+00
AB08,MVITORIA,automatic,ES, 10 , 2 ,0.00E+00
AB08,FMUNOZ,automatic,ES, 6 , 2 ,0.00E+00
AB08,NMOLINA,automatic,ES, 4 , 2 ,0.00E+00
AB08,MCOLOZZO,automatic,ES, 3 , 1 ,0.00E+00
ABAVN,DFERREIRA,automatic,AA, 236 , 32 ,0.00E+00
ABAVN,MVITORIA,automatic,AA, 38 , 8 ,0.00E+00
ABAVN,SBORECKI,automatic,AA, 27 , 13 ,0.00E+00
ABAVN,MCOLOZZO,automatic,AA, 22 , 8 ,0.00E+00
ABAVN,ESANTIAGO,automatic,AA, 20 , 7 ,0.00E+00
ABAVN,EVALADEZ,automatic,AA, 12 , 1 ,0.00E+00
ABAVN,ALIRA,automatic,AA, 12 , 5 ,0.00E+00
ABAVN,FMUNOZ,automatic,AA, 4 , 1 ,0.00E+00
ABUMN,KBRIGHI,automatic,AA," 3,254 ", 625 ,0.00E+00
